product_name,category,price,stock_quantity,rating,num_reviews,seller_name,best_rank,attributes
Nike Air Zoom Pegasus 41,Shoes,11999,150,4.6,1250,SportX,12,"{""brand"":""Nike"",""size"":42,""color"":""Black"",""material"":""Mesh"",""waterproof"":false,""gender"":""Men"",""sport"":""Running""}"
Adidas Ultraboost Light,Shoes,15999,85,4.8,2400,SportX,5,"{""brand"":""Adidas"",""size"":44,""color"":""White"",""material"":""Primeknit"",""waterproof"":false,""gender"":""Unisex"",""sport"":""Running""}"
Puma Velocity Nitro 3,Shoes,8999,0,4.4,320,SportX,45,"{""brand"":""Puma"",""size"":41,""color"":""Red"",""material"":""Mesh"",""waterproof"":false,""gender"":""Men"",""sport"":""Running""}"
Asics Gel-Kayano 31,Shoes,13999,60,4.9,850,SportX,8,"{""brand"":""Asics"",""size"":43,""color"":""Blue"",""material"":""Synthetic"",""waterproof"":false,""gender"":""Men"",""sport"":""Road Running""}"
Skechers Go Walk Max,Shoes,3499,210,4.3,1890,FashionHub,22,"{""brand"":""Skechers"",""size"":42,""color"":""Grey"",""material"":""Mesh"",""waterproof"":false,""gender"":""Men"",""sport"":""Walking""}"
Puma Classic Suede,Shoes,5499,120,4.5,950,UrbanStyle,30,"{""brand"":""Puma"",""size"":40,""color"":""Black"",""material"":""Suede"",""waterproof"":false,""gender"":""Unisex"",""sport"":""Casual""}"
Nike Air Max 90,Shoes,9999,0,4.7,3100,SportX,9,"{""brand"":""Nike"",""size"":43,""color"":""White"",""material"":""Leather"",""waterproof"":false,""gender"":""Men"",""sport"":""Casual""}"
Reebok Floatride Energy 5,Shoes,7999,45,4.2,180,SportX,62,"{""brand"":""Reebok"",""size"":42,""color"":""Yellow"",""material"":""Mesh"",""waterproof"":false,""gender"":""Men"",""sport"":""Running""}"
Adidas Samba OG,Shoes,10999,75,4.8,4200,UrbanStyle,3,"{""brand"":""Adidas"",""size"":41,""color"":""White"",""material"":""Leather"",""waterproof"":false,""gender"":""Unisex"",""sport"":""Casual""}"
Vans Old Skool Classic,Shoes,4500,300,4.6,5000,UrbanStyle,4,"{""brand"":""Vans"",""size"":42,""color"":""Black"",""material"":""Canvas"",""waterproof"":false,""gender"":""Unisex"",""sport"":""Skate""}"
Converse Chuck Taylor All Star,Shoes,3999,250,4.5,4800,UrbanStyle,6,"{""brand"":""Converse"",""size"":43,""color"":""Black"",""material"":""Canvas"",""waterproof"":false,""gender"":""Unisex"",""sport"":""Casual""}"
Under Armour Charged Assert 10,Shoes,5999,90,4.3,450,SportX,42,"{""brand"":""Under Armour"",""size"":44,""color"":""Grey"",""material"":""Mesh"",""waterproof"":false,""gender"":""Men"",""sport"":""Running""}"
Columbia Redmond III Waterproof,Shoes,7999,35,4.5,280,SportX,40,"{""brand"":""Columbia"",""size"":43,""color"":""Brown"",""material"":""Suede"",""waterproof"":true,""gender"":""Men"",""sport"":""Hiking""}"
Merrell Moab 3 Hiking Shoes,Shoes,9500,40,4.7,920,SportX,15,"{""brand"":""Merrell"",""size"":42,""color"":""Olive"",""material"":""Leather"",""waterproof"":true,""gender"":""Men"",""sport"":""Hiking""}"
Nike Pegasus Trail 5 GORE-TEX,Shoes,14999,25,4.8,190,SportX,28,"{""brand"":""Nike"",""size"":43,""color"":""Orange"",""material"":""Synthetic"",""waterproof"":true,""gender"":""Men"",""sport"":""Trail Running""}"
Salomon Speedcross 6,Shoes,12999,0,4.7,510,SportX,25,"{""brand"":""Salomon"",""size"":42,""color"":""Black"",""material"":""Ripstop"",""waterproof"":true,""gender"":""Men"",""sport"":""Trail Running""}"
Crocs Classic Clog,Shoes,2995,280,4.6,4900,FashionHub,5,"{""brand"":""Crocs"",""size"":41,""color"":""Navy"",""material"":""Croslite"",""waterproof"":true,""gender"":""Unisex"",""sport"":""Casual""}"
Bata Men Leather Formal Shoes,Shoes,1999,180,4.0,3100,EliteStore,18,"{""brand"":""Bata"",""size"":42,""color"":""Tan"",""material"":""Leather"",""waterproof"":false,""gender"":""Men"",""sport"":""Formal""}"
Hush Puppies Formal Slip-Ons,Shoes,4499,95,4.2,640,EliteStore,38,"{""brand"":""Hush Puppies"",""size"":41,""color"":""Black"",""material"":""Leather"",""waterproof"":false,""gender"":""Men"",""sport"":""Formal""}"
Woodland Leather High-Top Boots,Shoes,5995,110,4.4,1420,UrbanStyle,20,"{""brand"":""Woodland"",""size"":42,""color"":""Khaki"",""material"":""Nubuck"",""waterproof"":true,""gender"":""Men"",""sport"":""Hiking""}"
Puma Regular Fit Crew Neck T-Shirt,T-Shirts,799,150,4.1,890,FashionHub,45,"{""brand"":""Puma"",""size"":""L"",""color"":""Blue"",""fit"":""Regular"",""fabric"":""Cotton"",""gender"":""Men""}"
Nike Dri-FIT Training T-Shirt,T-Shirts,1899,120,4.5,1450,SportX,16,"{""brand"":""Nike"",""size"":""M"",""color"":""Black"",""fit"":""Athletic"",""fabric"":""Polyester"",""gender"":""Men""}"
Adidas Badge of Sport Tee,T-Shirts,1299,200,4.4,2100,SportX,12,"{""brand"":""Adidas"",""size"":""XL"",""color"":""White"",""fit"":""Regular"",""fabric"":""Cotton"",""gender"":""Men""}"
Levi's Housemark Graphic Tee,T-Shirts,999,0,4.2,3200,FashionHub,11,"{""brand"":""Levi's"",""size"":""M"",""color"":""Red"",""fit"":""Regular"",""fabric"":""Cotton"",""gender"":""Men""}"
U.S. Polo Assn. Solid Polo,T-Shirts,1499,180,4.3,2750,EliteStore,14,"{""brand"":""U.S. Polo Assn."",""size"":""L"",""color"":""Green"",""fit"":""Slim"",""fabric"":""Pique Cotton"",""gender"":""Men""}"
Tommy Hilfiger Classic Polo T-Shirt,T-Shirts,2999,80,4.6,850,EliteStore,24,"{""brand"":""Tommy Hilfiger"",""size"":""M"",""color"":""Navy"",""fit"":""Regular"",""fabric"":""Pique Cotton"",""gender"":""Men""}"
Jack & Jones Printed Crew Neck,T-Shirts,699,160,3.9,410,UrbanStyle,75,"{""brand"":""Jack & Jones"",""size"":""S"",""color"":""Grey"",""fit"":""Slim"",""fabric"":""Cotton Blend"",""gender"":""Men""}"
Under Armour Tech 2.0 Tee,T-Shirts,1699,95,4.6,1100,SportX,20,"{""brand"":""Under Armour"",""size"":""L"",""color"":""Teal"",""fit"":""Loose"",""fabric"":""Polyester"",""gender"":""Men""}"
Decathlon Quechua Hiking Tee,T-Shirts,499,250,4.2,3400,SportX,13,"{""brand"":""Decathlon"",""size"":""XL"",""color"":""Grey"",""fit"":""Regular"",""fabric"":""Polyester"",""gender"":""Unisex""}"
Allen Solly Solid Cotton Tee,T-Shirts,599,0,4.0,150,EliteStore,82,"{""brand"":""Allen Solly"",""size"":""M"",""color"":""Yellow"",""fit"":""Regular"",""fabric"":""Cotton"",""gender"":""Men""}"
Levi's 511 Slim Fit Jeans,Jeans,2899,140,4.4,4500,FashionHub,7,"{""brand"":""Levi's"",""waist"":32,""length"":34,""fit"":""Slim"",""stretch"":true,""color"":""Dark Blue""}"
Levi's 501 Original Fit Jeans,Jeans,3499,95,4.6,3100,FashionHub,9,"{""brand"":""Levi's"",""waist"":34,""length"":32,""fit"":""Straight"",""stretch"":false,""color"":""Light Indigo""}"
Wrangler Texas Authentic Jeans,Jeans,1999,110,4.2,1850,UrbanStyle,28,"{""brand"":""Wrangler"",""waist"":36,""length"":32,""fit"":""Regular"",""stretch"":true,""color"":""Classic Blue""}"
Pepe Jeans Cash Slim Jeans,Jeans,2499,0,4.3,950,UrbanStyle,35,"{""brand"":""Pepe Jeans"",""waist"":30,""length"":32,""fit"":""Slim"",""stretch"":true,""color"":""Grey""}"
Jack & Jones Liam Skinny Jeans,Jeans,1799,150,4.0,1200,UrbanStyle,40,"{""brand"":""Jack & Jones"",""waist"":32,""length"":32,""fit"":""Skinny"",""stretch"":true,""color"":""Super Black""}"
Lee Cooper Regular Straight Jeans,Jeans,1599,160,4.1,840,FashionHub,48,"{""brand"":""Lee Cooper"",""waist"":34,""length"":34,""fit"":""Straight"",""stretch"":false,""color"":""Medium Wash""}"
